spec_lag,max_modulus,stable,n_countries,n_obs
S1_lag1,0.6386586822628694,True,128,3491
S2_lag1,0.6459905517582499,True,127,3444
S3_lag1,0.7808162228038047,True,115,3169
S4_lag1,0.6458908048115328,True,122,3184
S5_lag1,0.565753075709235,True,123,3150
S6_lag1,0.7196341111434768,True,110,2873
S1_lag2,0.646557862887495,True,128,3363
S2_lag2,0.6474287065452359,True,127,3317
S3_lag2,0.6994424634100145,True,115,3054
S4_lag2,0.6363068627228186,True,121,3062
S5_lag2,0.6166539585529349,True,122,3027
S6_lag2,0.6978298727058811,True,109,2763
