spec,corr_var,gini_var,direction,lags,transform,Wbar,Ztilde,p_boot,p_asym,n_countries,sig
R1_v2x_pubcorr_x_gini_disp,v2x_pubcorr,gini_disp,corr_to_gini,1,first-diff,1.20101646653198,1.6081317322558402,0.165,0.05390316536735196,128,
R1_v2x_pubcorr_x_gini_disp,v2x_pubcorr,gini_disp,gini_to_corr,1,first-diff,1.1954760156147897,1.4951040270887708,0.27,0.06744364752801835,117,
R1_v2x_pubcorr_x_gini_disp,v2x_pubcorr,gini_disp,corr_to_gini,2,first-diff,2.083750032461899,0.4737617270272191,0.38,0.3178349150001528,128,
R1_v2x_pubcorr_x_gini_disp,v2x_pubcorr,gini_disp,gini_to_corr,2,first-diff,2.154962774373613,0.8380893431883285,0.72,0.20099026381481622,117,
R1_v2x_execorr_x_gini_disp,v2x_execorr,gini_disp,corr_to_gini,1,first-diff,1.2549485411134453,2.0395883289075627,0.09,0.020695672732992554,128,*
R1_v2x_execorr_x_gini_disp,v2x_execorr,gini_disp,gini_to_corr,1,first-diff,0.8622183952254143,-1.0716893776476175,0.935,0.8580702132530795,121,
R1_v2x_execorr_x_gini_disp,v2x_execorr,gini_disp,corr_to_gini,2,first-diff,1.988915715706085,-0.06270218071061442,0.625,0.5249981695715693,128,
R1_v2x_execorr_x_gini_disp,v2x_execorr,gini_disp,gini_to_corr,2,first-diff,2.3533151501198573,1.943233325659215,0.48,0.025993986619993636,121,
R1_v2x_jucorr_inv_x_gini_disp,v2x_jucorr_inv,gini_disp,corr_to_gini,1,first-diff,1.1062582072231235,0.8500656577849881,0.175,0.19764429176012288,128,
R1_v2x_jucorr_inv_x_gini_disp,v2x_jucorr_inv,gini_disp,gini_to_corr,1,first-diff,1.3893327135341713,2.9004633908131647,0.055,0.0018630568041949624,111,*
R1_v2x_jucorr_inv_x_gini_disp,v2x_jucorr_inv,gini_disp,corr_to_gini,2,first-diff,2.025198524460418,0.14254438017485221,0.365,0.4433250134656411,128,
R1_v2x_jucorr_inv_x_gini_disp,v2x_jucorr_inv,gini_disp,gini_to_corr,2,first-diff,2.3329846193747104,1.754105327378704,0.475,0.03970623050428379,111,
R2_wgi_coc_inv_x_gini_disp_post2002,wgi_coc_inv,gini_disp,corr_to_gini,1,first-diff,1.105460659357802,0.8436852748624162,0.59,0.19942264906208607,128,
R2_wgi_coc_inv_x_gini_disp_post2002,wgi_coc_inv,gini_disp,gini_to_corr,1,first-diff,1.461186676779656,3.6894934142372477,0.18,0.00011235052234348508,128,
R2_wgi_coc_inv_x_gini_disp_post2002,wgi_coc_inv,gini_disp,corr_to_gini,2,first-diff,2.6090498720905337,3.4453063570881266,0.395,0.0002852062512042064,128,
R2_wgi_coc_inv_x_gini_disp_post2002,wgi_coc_inv,gini_disp,gini_to_corr,2,first-diff,4.246244058167512,12.706675245841899,0.06,0.0,128,*
R3_v2x_corr_x_gini_mkt,v2x_corr,gini_mkt,corr_to_gini,1,first-diff,1.2716115129612642,2.1728921036901134,0.115,0.014894219462133207,128,
R3_v2x_corr_x_gini_mkt,v2x_corr,gini_mkt,gini_to_corr,1,first-diff,1.0294322317936861,0.23361109756710616,0.69,0.4076434557534703,126,
R3_v2x_corr_x_gini_mkt,v2x_corr,gini_mkt,corr_to_gini,2,first-diff,2.076869218834348,0.43483796721824025,0.615,0.33184002201164764,128,
R3_v2x_corr_x_gini_mkt,v2x_corr,gini_mkt,gini_to_corr,2,first-diff,2.4495671067793237,2.5231891288971684,0.34,0.005814791758895765,126,
R4_v2x_corr_x_wid_top10,v2x_corr,wid_top10,corr_to_gini,1,first-diff,1.0779664837786753,0.6188397800295792,0.535,0.26801095658798646,126,
R4_v2x_corr_x_wid_top10,v2x_corr,wid_top10,gini_to_corr,1,first-diff,1.1411626513776751,1.1248812284603276,0.46,0.13031968373350655,127,
R4_v2x_corr_x_wid_top10,v2x_corr,wid_top10,corr_to_gini,2,first-diff,1.8493432418170628,-0.8455589581839038,0.885,0.8011005853802851,126,
R4_v2x_corr_x_wid_top10,v2x_corr,wid_top10,gini_to_corr,2,first-diff,2.6223522817805778,3.506777012263591,0.2,0.0002267845317242001,127,
R5_SWIID_imputation_avg,v2x_corr,gini_disp (100 imputations),corr_to_gini,1,first-diff,1.2100261542259947,1.6736330471892709,0.14035299127124334,,0,
R5_SWIID_imputation_avg,v2x_corr,gini_disp (100 imputations),gini_to_corr,1,first-diff,1.046926991920058,0.37099044551925475,0.40672355662008286,,0,
R5_SWIID_imputation_avg,v2x_corr,gini_disp (100 imputations),corr_to_gini,2,first-diff,2.2750347622840748,1.5497421800908946,0.16864569129381646,,0,
R5_SWIID_imputation_avg,v2x_corr,gini_disp (100 imputations),gini_to_corr,2,first-diff,2.1795707713846597,1.0038311289704342,0.26289799596352537,,0,
R6_subsample_OECD,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.345365296906644,1.6742203932649486,0.1,0.04704364649220061,47,
R6_subsample_OECD,v2x_corr,gini_disp,gini_to_corr,1,first-diff,0.9140178578574623,-0.4078491109061539,0.7066666666666667,0.6583077722021262,45,
R6_subsample_OECD,v2x_corr,gini_disp,corr_to_gini,2,first-diff,1.5669294163957774,-1.4844911693923266,0.9533333333333334,0.9311606679324049,47,
R6_subsample_OECD,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.2510301222951226,0.8419806267779694,0.54,0.19989939880563423,45,
R6_subsample_non-OECD,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.3667776400562024,2.3341586082420545,0.11333333333333333,0.00979370918630007,81,
R6_subsample_non-OECD,v2x_corr,gini_disp,gini_to_corr,1,first-diff,0.9757359292280026,-0.15441560083862724,0.82,0.561358973251479,81,
R6_subsample_non-OECD,v2x_corr,gini_disp,corr_to_gini,2,first-diff,2.4907596521336157,2.2084184346012705,0.14666666666666667,0.013607558952752674,81,
R6_subsample_non-OECD,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.3253387868154474,1.4640245406695132,0.5533333333333333,0.07159362160339,81,
R6_subsample_LAC,v2x_corr,gini_disp,corr_to_gini,1,first-diff,0.8982537156442272,-0.3217500020233999,0.6733333333333333,0.6261789528818742,20,
R6_subsample_LAC,v2x_corr,gini_disp,gini_to_corr,1,first-diff,0.6830704667353185,-1.0022191828904938,0.9133333333333333,0.8418811275354757,20,
R6_subsample_LAC,v2x_corr,gini_disp,corr_to_gini,2,first-diff,1.5426565596770057,-1.0226510216258338,0.9,0.8467635616538546,20,
R6_subsample_LAC,v2x_corr,gini_disp,gini_to_corr,2,first-diff,1.4962802775555313,-1.1263515409931586,0.9133333333333333,0.8699916251558415,20,
R6_subsample_SSA,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.1827015269107037,0.7075999710518218,0.38,0.23959685542079945,30,
R6_subsample_SSA,v2x_corr,gini_disp,gini_to_corr,1,first-diff,0.8155678261856575,-0.7143027376877802,0.8666666666666667,0.7624800001369536,30,
R6_subsample_SSA,v2x_corr,gini_disp,corr_to_gini,2,first-diff,2.123602287727228,0.3384988057372331,0.49333333333333335,0.36749366345808565,30,
R6_subsample_SSA,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.5252470788458243,1.4384483667377628,0.36,0.07515343882955938,30,
R6_subsample_post-Soviet,v2x_corr,gini_disp,corr_to_gini,1,first-diff,3.6995573210455515,6.612537967956313,0.006666666666666667,1.8889334540972413e-11,12,***
R6_subsample_post-Soviet,v2x_corr,gini_disp,gini_to_corr,1,first-diff,1.0441971375712589,0.10826043514117561,0.6,0.45689455314309146,12,
R6_subsample_post-Soviet,v2x_corr,gini_disp,corr_to_gini,2,first-diff,4.013279498948191,3.487102382015079,0.04666666666666667,0.000244142197106334,12,**
R6_subsample_post-Soviet,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.3509503976519484,0.6078639196696757,0.5533333333333333,0.2716388655483759,12,
R7_lag_sensitivity,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.358915295305974,2.871322362447792,0.055,0.002043792237195974,128,*
R7_lag_sensitivity,v2x_corr,gini_disp,gini_to_corr,1,first-diff,0.953693760881381,-0.3675443785756698,0.835,0.6433935023585539,126,
R7_lag_sensitivity,v2x_corr,gini_disp,corr_to_gini,2,first-diff,2.151540737448628,0.8572438646074814,0.525,0.19565506248571152,128,
R7_lag_sensitivity,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.298799978058188,1.6770107176039664,0.56,0.04677019303652685,126,
R7_lag_sensitivity,v2x_corr,gini_disp,corr_to_gini,3,first-diff,3.49396901944098,2.2815451707646814,0.285,0.011258103478639314,128,
R7_lag_sensitivity,v2x_corr,gini_disp,gini_to_corr,3,first-diff,3.728994292763786,3.3406715277808465,0.34,0.0004178801852537939,126,
R8_period_1995-2010,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.269208463962353,2.1536677116988248,0.185,0.01563311999761996,128,
R8_period_1995-2010,v2x_corr,gini_disp,gini_to_corr,1,first-diff,1.2295866130701223,1.7180688933964676,0.59,0.042892024932900896,112,
R8_period_1995-2010,v2x_corr,gini_disp,corr_to_gini,2,first-diff,2.3441488089391997,1.9467996523054534,0.455,0.025779379337487196,128,
R8_period_1995-2010,v2x_corr,gini_disp,gini_to_corr,2,first-diff,3.7602669698011457,9.188863351117577,0.16,0.0,109,
R8_period_2000-2020,v2x_corr,gini_disp,corr_to_gini,1,first-diff,1.205091905222309,1.6407352417784722,0.27,0.050426193005303155,128,
R8_period_2000-2020,v2x_corr,gini_disp,gini_to_corr,1,first-diff,1.12359362252235,0.973177156918627,0.71,0.16523263093556806,124,
R8_period_2000-2020,v2x_corr,gini_disp,corr_to_gini,2,first-diff,2.191794235600927,1.0849520366872467,0.7,0.13897144946465767,128,
R8_period_2000-2020,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.7013762511337442,3.905097695997781,0.485,4.7093663360642246e-05,124,
R8_period_2010-2023,v2x_corr,gini_disp,corr_to_gini,1,first-diff,6.270393821797246,40.138123525354764,0.12,0.0,116,
R8_period_2010-2023,v2x_corr,gini_disp,gini_to_corr,1,first-diff,2.342884953595811,10.093993754731688,0.26,0.0,113,
R8_period_2010-2023,v2x_corr,gini_disp,corr_to_gini,2,first-diff,337.2790901945244,1642.5253848023267,0.04,0.0,96,**
R8_period_2010-2023,v2x_corr,gini_disp,gini_to_corr,2,first-diff,2.579987163923669e+24,1.237318377048731e+25,0.0,0.0,92,***
